Population Issue,x,Run,3189 VCF Files cohort,1GP Files,x,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,Genome_coverage,Avg rDNA Coverage,Estimated Copy #
,23215,ERR3240193,ERR3240193,ERR3240193,TRUE,WGS,PRJEB31736,SAMN00006337,NYGC,public,HG00118,2019-03-22,2019-03-22,ERX3267568,Illumina NovaSeq 6000,HG00118,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00118,female,ERP114329,EUR,European,11297075067,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:41:00Z,1,CORIELL:HG00118,300,120190897800,MGP00003,,38.77492967,8261.980321,213.0753142
,23216,ERR3240194,ERR3240194,ERR3240194,TRUE,WGS,PRJEB31736,SAMN00006338,NYGC,public,HG00119,2019-03-22,2019-03-22,ERX3267569,Illumina NovaSeq 6000,HG00119,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00119,male,ERP114329,EUR,European,11974139654,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T06:21:00Z,1,CORIELL:HG00119,300,117770036700,MGP00003,,37.99393276,7827.76551,206.0267243
,23156,ERR3240134,ERR3240134,ERR3240134,TRUE,WGS,PRJEB31736,SAMN00004644,NYGC,public,HG00120,2019-03-22,2019-03-22,ERX3267509,Illumina NovaSeq 6000,HG00120,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00120,female,ERP114329,EUR,European,11970281247,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T12:26:00Z,1,CORIELL:HG00120,300,131967447600,MGP00003,,42.57417652,7766.550248,182.4239688
,23217,ERR3240195,ERR3240195,ERR3240195,TRUE,WGS,PRJEB31736,SAMN00006339,NYGC,public,HG00121,2019-03-22,2019-03-22,ERX3267570,Illumina NovaSeq 6000,HG00121,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00121,female,ERP114329,EUR,European,11756888960,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:46:00Z,1,CORIELL:HG00121,300,113336299800,MGP00003,,36.56355959,8175.902509,223.6079474
,23218,ERR3240196,ERR3240196,ERR3240196,TRUE,WGS,PRJEB31736,SAMN00006340,NYGC,public,HG00122,2019-03-22,2019-03-22,ERX3267571,Illumina NovaSeq 6000,HG00122,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00122,female,ERP114329,EUR,European,12019988046,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T05:44:00Z,1,CORIELL:HG00122,300,117716009700,MGP00003,,37.97650305,6174.064969,162.5759213
,23219,ERR3240197,ERR3240197,ERR3240197,TRUE,WGS,PRJEB31736,SAMN00006341,NYGC,public,HG00123,2019-03-22,2019-03-22,ERX3267572,Illumina NovaSeq 6000,HG00123,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00123,female,ERP114329,EUR,European,10249024028,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T07:07:00Z,1,CORIELL:HG00123,300,108426910500,MGP00003,,34.97973562,9324.535827,266.5696485
,23220,ERR3240198,ERR3240198,ERR3240198,TRUE,WGS,PRJEB31736,SAMN00006343,NYGC,public,HG00125,2019-03-22,2019-03-22,ERX3267573,Illumina NovaSeq 6000,HG00125,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00125,female,ERP114329,EUR,European,10947495874,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:28:00Z,1,CORIELL:HG00125,300,99424147200,MGP00003,,32.07534335,5511.743578,171.8373991
,23221,ERR3240199,ERR3240199,ERR3240199,TRUE,WGS,PRJEB31736,SAMN00006344,NYGC,public,HG00126,2019-03-22,2019-03-22,ERX3267574,Illumina NovaSeq 6000,HG00126,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00126,male,ERP114329,EUR,European,14753544639,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T14:00:00Z,1,CORIELL:HG00126,300,139636375200,MGP00003,,45.04825845,13633.45118,302.6410265
,23157,ERR3240135,ERR3240135,ERR3240135,TRUE,WGS,PRJEB31736,SAMN00004645,NYGC,public,HG00127,2019-03-22,2019-03-22,ERX3267510,Illumina NovaSeq 6000,HG00127,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00127,female,ERP114329,EUR,European,12721075695,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T07:10:00Z,1,CORIELL:HG00127,300,121190396400,MGP00003,,39.09737911,8141.747334,208.2427907
,23158,ERR3240136,ERR3240136,ERR3240136,TRUE,WGS,PRJEB31736,SAMN00004646,NYGC,public,HG00128,2019-03-22,2019-03-22,ERX3267511,Illumina NovaSeq 6000,HG00128,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00128,female,ERP114329,EUR,European,13776490110,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T08:43:00Z,1,CORIELL:HG00128,300,147460895100,MGP00003,,47.5725362,11889.37517,249.9209863
